"date","cnt","reinf","third","fourth"
2020-03-04,1,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,2,0,0,0
2020-03-08,8,0,0,0
2020-03-09,3,0,0,0
2020-03-10,7,0,0,0
2020-03-11,10,0,0,0
2020-03-12,18,0,0,0
2020-03-13,15,0,0,0
2020-03-14,12,0,0,0
2020-03-15,23,0,0,0
2020-03-16,141,0,0,0
2020-03-17,144,0,0,0
2020-03-18,176,0,0,0
2020-03-19,151,0,0,0
2020-03-20,114,0,0,0
2020-03-21,84,0,0,0
2020-03-22,37,0,0,0
2020-03-23,148,0,0,0
2020-03-24,78,0,0,0
2020-03-25,57,0,0,0
2020-03-26,52,0,0,0
2020-03-27,65,0,0,0
2020-03-28,38,0,0,0
